Job Title,Company,Location,Post Date,Work Type,Job Link
"Senior Data Analyst, Customer Marketing",Deel,"Europe, Moyen-Orient et Afrique",il y a 4 jours,À distance,https://www.linkedin.com/jobs/view/3824218919/?eBP=CwEAAAGNmqb-4_KB9lx1vhU2ndJiNTsy63OO-NhNpMIna_9hOmTlw7BuG0XD_ccFCIK6uKnewfV2WieIBzZmfbLxfl5aZWxMZkUSRoniOMbnwTlhzNPD1mUepXZbGntfM5xMBrV_pT6jcovTPv6ZV5BRRha893DzINWcuOCv0RzhlZtfYKLmt_FU52EAGHtvSR7gbrk9025Rnhdh0opKTXg2ipxOkS_XdPVDBX4pqbIOvnXE2asxUUgGiz2TfneqY0DmXTLTaPsr_GRH7hzIEiCnF0znC-QEBOyjKFiaTiWnxj79QLKgdC5gA7Klef5HE8z4RgmCleO1WBFVB2rkfPUom2ykibM5M_RDZVnRaaLxOjXcgY8jVaxr6S-qqbxZbzzBDMAhcRan&refId=4DJpPiINKxERT4ogu2u3pQ%3D%3D&trackingId=WYCwioLi%2FSVMSp1A8Aaumg%3D%3D&trk=flagship3_search_srp_jobs
People Data Analyst,Canonical,"Europe, Moyen-Orient et Afrique",Republiée il y a 1 semaine,À distance,https://www.linkedin.com/jobs/view/3624241423/?eBP=CwEAAAGNmqb-4z7kF4DlyfYieL2jutiTRU2xw_tQHBPcQYWVD9IRd2kw3MkTRLKHGNCgdb4w5tDhoITUZP-LHbqfGA2LjEMMvnNk9zRsUXgNhEFhMRXkfyEPwknBAi3Hg1OmLI1ScdEfP3mQ5H8MZ3Kbz8x_vlv2AqfzcMuFf6rzG0UJ6l_tNZpzoI1mcarlW3sZVS6LGaWAOpu7djxhAacWxtiYacehvHnWUzH24_HeuA5xXYS1k4zRE_xeJjVJa2TBfKS-aLR9t3H-tX7enZC9WTFl3ocJZEJ1j-jdzBAxaK7rRhmhqqxuIudLzhZT3T8iDvF-9caeOx0Ilv78BYbKz1UAnGRpaPkmfSKny9-CarFpGrY5r7u_6PQ258MgmlOucXCToh2bs5c&refId=4DJpPiINKxERT4ogu2u3pQ%3D%3D&trackingId=AhWg3kxSH0MyczAVrIypZg%3D%3D&trk=flagship3_search_srp_jobs
Data Analyst (0 Experience Required),Peroptyx,"Riyad, Arabie saoudite",il y a 4 jours,À distance,https://www.linkedin.com/jobs/view/3824633523/?eBP=JOB_SEARCH_ORGANIC&refId=4DJpPiINKxERT4ogu2u3pQ%3D%3D&trackingId=Fz6ECMKU8NmRwKzr0nbIFw%3D%3D&trk=flagship3_search_srp_jobs
Quality Data Analysis,Dr. Soliman Fakeeh Hospital Madinah,Madinah Region,il y a 1 semaine,Sur site,https://www.linkedin.com/jobs/view/3816668598/?eBP=JOB_SEARCH_ORGANIC&refId=4DJpPiINKxERT4ogu2u3pQ%3D%3D&trackingId=spnVlLmYFMaVkHncwzfdiA%3D%3D&trk=flagship3_search_srp_jobs
"Senior Data Analyst, Marketing",Deel,"Europe, Moyen-Orient et Afrique",Republiée il y a 2 mois,À distance,https://www.linkedin.com/jobs/view/3752601341/?eBP=JOB_SEARCH_ORGANIC&refId=4DJpPiINKxERT4ogu2u3pQ%3D%3D&trackingId=xGwp1dxF%2FnOnjUSmFq2GaA%3D%3D&trk=flagship3_search_srp_jobs
Junior Business Intelligence Analyst,SMART Technology Solutions,"Djeddah, La Mecque, Arabie saoudite",il y a 1 semaine,Sur site,https://www.linkedin.com/jobs/view/3818175700/?eBP=JOB_SEARCH_ORGANIC&refId=4DJpPiINKxERT4ogu2u3pQ%3D%3D&trackingId=Aqi1VnwJM1SuGU0WI1latg%3D%3D&trk=flagship3_search_srp_jobs
IT Support Executive & Data Analyst,Rawafid Industrial,"Djeddah, La Mecque, Arabie saoudite",il y a 3 jours,Sur site,https://www.linkedin.com/jobs/view/3825441659/?eBP=JOB_SEARCH_ORGANIC&refId=4DJpPiINKxERT4ogu2u3pQ%3D%3D&trackingId=9f18Q2Vzjon1thEbVLggvg%3D%3D&trk=flagship3_search_srp_jobs
Data Analyst,Talent Disruptors,"Riyad, Riyad, Arabie saoudite",il y a 1 semaine,À distance,https://www.linkedin.com/jobs/view/3821314457/?eBP=JOB_SEARCH_ORGANIC&refId=4DJpPiINKxERT4ogu2u3pQ%3D%3D&trackingId=tjxYipX6e%2FNEjfsWiyLe8g%3D%3D&trk=flagship3_search_srp_jobs
Decision Support and Data Analysis-QHN(تكليف داخلي متاح لموظفي تجمع الشرقية الصحي فقط),Eastern Health Cluster | تجمع الشرقية الصحي,"Dammam, Province de l'Est, Arabie saoudite",il y a 1 jour,Sur site,https://www.linkedin.com/jobs/view/3827800972/?eBP=JOB_SEARCH_ORGANIC&refId=4DJpPiINKxERT4ogu2u3pQ%3D%3D&trackingId=zC5CtpZwtgPPW0Q2G07iwA%3D%3D&trk=flagship3_search_srp_jobs
Data Analyst - REMOTE,Braintrust,"Europe, Moyen-Orient et Afrique",il y a 1 semaine,À distance,https://www.linkedin.com/jobs/view/3820767030/?eBP=JOB_SEARCH_ORGANIC&refId=4DJpPiINKxERT4ogu2u3pQ%3D%3D&trackingId=mOFa0iU8aMonr1tN%2FdsjWA%3D%3D&trk=flagship3_search_srp_jobs
Senior Data Manager and Analyst,Oil and Gas Job Search Ltd,"Dhahran, Province de l'Est, Arabie saoudite",il y a 2 mois,Sur site,https://www.linkedin.com/jobs/view/3765077346/?eBP=JOB_SEARCH_ORGANIC&refId=4DJpPiINKxERT4ogu2u3pQ%3D%3D&trackingId=%2FuJsxf6d1n5efu%2F4id79sw%3D%3D&trk=flagship3_search_srp_jobs
Digital Data Analyst (Entry Level),Vyper Media Knowledge,"Riyad, Riyad, Arabie saoudite",il y a 1 jour,À distance,https://www.linkedin.com/jobs/view/3822619476/?eBP=JOB_SEARCH_ORGANIC&refId=4DJpPiINKxERT4ogu2u3pQ%3D%3D&trackingId=X%2FLR82CcCOVpo8xUB8Rfsw%3D%3D&trk=flagship3_search_srp_jobs
